name,region,rating,kd,maps,kost,kpr,srv,plants,profile_url
DARKEYSS,EU,0.88,93-103 (-10),13,53%,0.66,26%,1,https://siege.gg/players/3137-darkeyss
YLEQI,EU,0.88,54-63 (-9),7,59%,0.63,26%,1,https://siege.gg/players/3900-yleqi
THEASER,EU,0.88,54-71 (-17),9,61%,0.56,26%,2,https://siege.gg/players/3948-theaser
EWZY,EU,0.88,40-43 (-3),6,57%,0.68,27%,0,https://siege.gg/players/3972-ewzy
live,EU,0.87,25-34 (-9),4,57%,0.56,24%,3,https://siege.gg/players/1108-live
RIN,EU,0.87,78-94 (-16),11,59%,0.67,19%,2,https://siege.gg/players/2517-rin
TYRANT,EU,0.87,63-76 (-13),9,56%,0.64,22%,1,https://siege.gg/players/2840-tyrant
Seal,EU,0.87,67-78 (-11),11,52%,0.61,29%,1,https://siege.gg/players/3274-seal
MHAGR,EU,0.87,28-32 (-4),4,55%,0.62,28%,0,https://siege.gg/players/3643-mhagr
ZENOO,EU,0.87,27-35 (-8),4,61%,0.61,20%,1,https://siege.gg/players/3770-zenoo
D0MANTAS,EU,0.87,103-128 (-25),14,55%,0.65,19%,0,https://siege.gg/players/3841-d0mantas
Logger,EU,0.87,87-104 (-17),13,56%,0.63,25%,0,https://siege.gg/players/3897-logger
VOID.NN,EU,0.87,34-41 (-7),5,55%,0.58,30%,4,https://siege.gg/players/3909-voidnn
DEMoZ,EU,0.87,79-95 (-16),12,60%,0.59,29%,3,https://siege.gg/players/4003-demoz
ReJo1ce,EU,0.87,63-77 (-14),10,55%,0.63,23%,1,https://siege.gg/players/4011-rejo1ce
Hotancold,EU,0.86,156-213 (-57),26,61%,0.52,28%,25,https://siege.gg/players/79-hotancold
Psycho,EU,0.86,97-121 (-24),15,56%,0.59,26%,2,https://siege.gg/players/92-psycho
R4re,EU,0.86,102-124 (-22),15,59%,0.63,23%,2,https://siege.gg/players/2253-r4re
Dotz,EU,0.86,234-313 (-79),39,60%,0.52,30%,19,https://siege.gg/players/2264-dootz
Ar7hr,EU,0.86,165-237 (-72),30,61%,0.48,30%,32,https://siege.gg/players/2267-ar7hr
MENGO,EU,0.86,64-81 (-17),9,58%,0.62,21%,2,https://siege.gg/players/2850-mengo
Nuxxga,EU,0.86,61-97 (-36),13,62%,0.43,31%,14,https://siege.gg/players/2859-nuxxga
Dov2hkiin,EU,0.86,81-98 (-17),13,57%,0.57,31%,2,https://siege.gg/players/2866-dov2hkiin
SOUZAA,EU,0.86,22-31 (-9),4,48%,0.59,16%,0,https://siege.gg/players/3030-souzaa
CADENT,EU,0.86,103-135 (-32),16,61%,0.55,27%,1,https://siege.gg/players/3167-cadent
MOLVER,EU,0.86,39-47 (-8),6,56%,0.60,27%,0,https://siege.gg/players/3880-molver
MajorKi,EU,0.86,56-73 (-17),10,54%,0.60,21%,3,https://siege.gg/players/3984-major
KarTy,EU,0.86,78-98 (-20),12,58%,0.58,26%,3,https://siege.gg/players/4004-karty
Canadian,EU,0.85,163-242 (-79),31,63%,0.47,30%,15,https://siege.gg/players/49-canadian
SpiriTz,EU,0.85,26-35 (-9),4,60%,0.54,27%,3,https://siege.gg/players/1995-spiritz
kondz,EU,0.85,149-200 (-51),26,58%,0.54,27%,9,https://siege.gg/players/2278-kondzz
CTZN,EU,0.84,51-67 (-16),9,63%,0.55,27%,0,https://siege.gg/players/357-ctzn
LINKOO,EU,0.84,160-210 (-50),26,57%,0.59,23%,7,https://siege.gg/players/2422-linkoo
BJL,EU,0.84,33-59 (-26),6,68%,0.44,21%,6,https://siege.gg/players/3456-bjl
AREZ7,EU,0.84,19-26 (-7),4,52%,0.56,23%,0,https://siege.gg/players/3702-arez7
Franklin,EU,0.84,54-84 (-30),9,65%,0.48,25%,9,https://siege.gg/players/3750-franlin
HAXZAO,EU,0.84,31-37 (-6),4,59%,0.70,15%,0,https://siege.gg/players/3875-haxzao
HANNI,EU,0.84,23-33 (-10),3,50%,0.64,8%,1,https://siege.gg/players/3934-hanni
Eddy,EU,0.83,38-46 (-8),6,54%,0.64,22%,0,https://siege.gg/players/2830-eddy
MR6OTLAW,EU,0.83,108-136 (-28),15,50%,0.67,16%,1,https://siege.gg/players/3045-mr6otlaw
TOASTER,EU,0.83,15-20 (-5),2,56%,0.60,20%,1,https://siege.gg/players/3764-toaster
KAIINX7,EU,0.83,44-56 (-12),6,52%,0.68,13%,0,https://siege.gg/players/3797-kaiinx7
EVAN,EU,0.83,84-137 (-53),17,62%,0.44,28%,20,https://siege.gg/players/3803-evan
HELLAMOB,EU,0.83,89-121 (-32),16,58%,0.55,25%,4,https://siege.gg/players/3954-hellamob
Souffle,EU,0.82,62-85 (-23),11,59%,0.56,22%,0,https://siege.gg/players/1986-souffle
RYCE,EU,0.82,66-115 (-49),15,63%,0.38,33%,19,https://siege.gg/players/2107-ryce
JOEGOR,EU,0.82,68-86 (-18),11,51%,0.62,21%,3,https://siege.gg/players/3612-joegor
RAWA,EU,0.82,58-77 (-19),9,54%,0.56,25%,2,https://siege.gg/players/3819-rawa
BEUSTER,EU,0.82,32-51 (-19),5,61%,0.48,23%,6,https://siege.gg/players/3839-beuster
RWZ9,EU,0.82,25-35 (-10),4,59%,0.68,5%,0,https://siege.gg/players/3892-rwz9
Rioter,EU,0.82,48-72 (-24),10,61%,0.48,28%,8,https://siege.gg/players/4012-rioter
Yoggah,EU,0.8,111-157 (-46),18,55%,0.55,22%,4,https://siege.gg/players/348-yoggah
PALADIIN,EU,0.8,23-33 (-10),4,48%,0.62,10%,1,https://siege.gg/players/3032-paladiin
KY,EU,0.8,54-76 (-22),10,56%,0.58,18%,0,https://siege.gg/players/3987-ky
IONZ,EU,0.79,44-73 (-29),8,63%,0.49,18%,1,https://siege.gg/players/3757-ionz
R4UL,EU,0.79,34-48 (-14),5,54%,0.56,21%,1,https://siege.gg/players/3882-r4ul
STOAXY,EU,0.79,33-46 (-13),5,52%,0.56,22%,0,https://siege.gg/players/3908-stoaxy
P4,EU,0.78,39-64 (-25),9,57%,0.45,26%,4,https://siege.gg/players/979-p4
JONAXYZ,EU,0.78,37-51 (-14),5,50%,0.61,16%,0,https://siege.gg/players/3776-jonaxyz
VALEN,EU,0.78,29-46 (-17),5,57%,0.49,22%,2,https://siege.gg/players/3913-valen
MARECKX,EU,0.78,18-28 (-10),4,57%,0.43,33%,0,https://siege.gg/players/3971-mareckx
KIRsy,EU,0.78,26-37 (-11),5,44%,0.60,13%,1,https://siege.gg/players/3977-kirsay
nesk,EU,0.77,11-17 (-6),2,52%,0.58,10%,0,https://siege.gg/players/97-nesk
NERF,EU,0.77,25-44 (-19),5,53%,0.37,34%,9,https://siege.gg/players/3182-nerf
V11,EU,0.77,24-48 (-24),5,60%,0.39,21%,8,https://siege.gg/players/3778-v11
AGMOLI,EU,0.77,34-61 (-27),7,60%,0.43,23%,3,https://siege.gg/players/3939-agmoli
IT,EU,0.77,31-46 (-15),6,56%,0.62,8%,1,https://siege.gg/players/3975-it
ion,EU,0.76,91-131 (-40),15,46%,0.55,20%,0,https://siege.gg/players/130-ion
Miracle,EU,0.76,78-124 (-46),15,54%,0.48,23%,3,https://siege.gg/players/868-miracle
Pacbull,EU,0.76,21-32 (-11),4,57%,0.50,23%,0,https://siege.gg/players/1707-pacbull
MILANO,EU,0.76,42-69 (-27),7,58%,0.49,19%,4,https://siege.gg/players/1861-milano
SKEPTIC,EU,0.76,69-121 (-52),16,57%,0.42,27%,9,https://siege.gg/players/2304-skeptic
INRYO,EU,0.76,6-12 (-6),2,62%,0.38,25%,1,https://siege.gg/players/2324-inryo
Stemp,EU,0.76,79-117 (-38),13,50%,0.57,15%,3,https://siege.gg/players/2783-stemp
DRKZINN,EU,0.76,61-94 (-33),11,56%,0.52,19%,1,https://siege.gg/players/3774-drkzinn
Dominic,EU,0.76,55-78 (-23),10,53%,0.59,16%,2,https://siege.gg/players/3985-dominic
J1ahao,EU,0.76,54-76 (-22),10,55%,0.58,18%,0,https://siege.gg/players/3986-j1ahao
coted,EU,0.75,56-93 (-37),11,58%,0.48,20%,3,https://siege.gg/players/2516-coted
GWZH,EU,0.75,21-33 (-12),4,57%,0.47,26%,0,https://siege.gg/players/3345-gwzh
LENDA,EU,0.74,30-50 (-20),6,56%,0.47,21%,0,https://siege.gg/players/1390-lenda
Flastry,EU,0.74,21-32 (-11),4,53%,0.47,28%,0,https://siege.gg/players/2650-flastry
KRONK,EU,0.74,20-28 (-8),3,47%,0.56,22%,0,https://siege.gg/players/3473-kronk
CENTIR,EU,0.74,31-47 (-16),6,49%,0.53,20%,2,https://siege.gg/players/3480-centir
GUIZI,EU,0.74,10-18 (-8),2,63%,0.45,18%,0,https://siege.gg/players/3700-guizi
RASH,EU,0.74,56-90 (-34),11,54%,0.48,23%,4,https://siege.gg/players/3772-rash
FOCAL,EU,0.73,29-47 (-18),6,54%,0.49,20%,0,https://siege.gg/players/3022-focal
RAZAH,EU,0.73,9-14 (-5),2,52%,0.47,26%,0,https://siege.gg/players/3518-razah
Hauva,EU,0.73,36-74 (-38),9,57%,0.38,21%,6,https://siege.gg/players/3732-hauva
Relaes,EU,0.73,46-68 (-22),8,52%,0.56,17%,0,https://siege.gg/players/3855-relaes
KAMIKAZE,EU,0.72,8-16 (-8),2,57%,0.42,15%,1,https://siege.gg/players/93-kamikaze
XROYALE,EU,0.72,18-33 (-15),4,55%,0.40,26%,1,https://siege.gg/players/3346-xroyale
JULIANOBORGES,EU,0.72,15-25 (-10),4,50%,0.50,16%,0,https://siege.gg/players/3783-julianoborges
COXAH,EU,0.72,6-9 (-3),2,50%,0.60,10%,0,https://siege.gg/players/3893-coxah
GAVRUNNIN,EU,0.72,12-18 (-6),2,47%,0.52,21%,0,https://siege.gg/players/3926-gavrunnin
Shed,EU,0.7,21-42 (-21),5,62%,0.39,22%,0,https://siege.gg/players/3098-shedpog
FERRAZ,EU,0.7,20-35 (-15),4,52%,0.48,16%,1,https://siege.gg/players/3887-ferraz
NARUSAS,EU,0.7,19-32 (-13),4,48%,0.51,13%,1,https://siege.gg/players/3891-narusas
WZHEKA,EU,0.7,30-47 (-17),6,49%,0.55,14%,0,https://siege.gg/players/3961-wzheka
KIIOXZ,EU,0.7,27-45 (-18),6,47%,0.49,18%,1,https://siege.gg/players/3962-kiioxz
LULI,EU,0.69,16-30 (-14),4,54%,0.38,28%,0,https://siege.gg/players/3024-luli
MZJIIN,EU,0.68,31-49 (-18),6,43%,0.56,10%,0,https://siege.gg/players/3960-mzjiin
IO0MagNETic,EU,0.67,3-5 (-2),1,44%,0.33,44%,0,https://siege.gg/players/3988-io0magnetic
GOOSENA,EU,0.64,27-47 (-20),5,42%,0.46,20%,0,https://siege.gg/players/3911-goosena
ANNIKA,EU,0.62,40-84 (-44),9,42%,0.38,20%,2,https://siege.gg/players/3674-annika
Fishoguy,EU,0.61,29-68 (-39),8,48%,0.35,17%,2,https://siege.gg/players/547-fishoguy
SIRILOID,EU,0.61,12-30 (-18),4,47%,0.29,28%,0,https://siege.gg/players/3968-siriloid
Miracle,EU,0.61,17-31 (-14),4,44%,0.47,13%,0,https://siege.gg/players/3978-miracle
SWITY,EU,0.58,16-34 (-18),4,42%,0.40,15%,1,https://siege.gg/players/3889-swity
Oblivionis,EU,0.58,33-73 (-40),9,50%,0.39,13%,0,https://siege.gg/players/3983-oblivionis
MIGHTFR,EU,0.57,25-51 (-26),6,38%,0.45,7%,1,https://siege.gg/players/3958-mightfr
ZEPHIR,EU,0.55,6-15 (-9),2,35%,0.35,11%,1,https://siege.gg/players/20-zephir
